Title,Author,Edition,Reviews,Ratings,Synopsis,Genre,BookCategory
"When I Stop Talking, You'll Know I'm Dead",Jerry Weintraub,"Paperback,– 23 Mar 2011",4.7 out of 5 stars,4 customer reviews,"Here is the story of Jerry Weintraub: the self-made, Brooklyn-born, Bronx-raised impresario, Hollywood producer, legendary deal maker, and friend of politicians and stars. No matter where nature has placed him--the club rooms of Brooklyn, the Mafia dives of New York's Lower East Side, the wilds of Alaska, or the hills of Hollywood--he has found a way to put on a show and sell tickets at the door. ""All life was a theater and I wanted to put it up on a stage,"" he writes. ""I wanted to set the world under a marquee that read: 'Jerry Weintraub Presents.'""

In WHEN I STOP TALKING, YOU'LL KNOW I'M DEAD, we follow Weintraub from his first great success at age twenty-six with Elvis Presley, whom he took on the road; to the immortal days with Sinatra and Rat Pack glory; to his crowning hits as a movie producer, starting with Robert Altman and Nashville, continuing with Oh, God!, The Karate Kid movies, and Diner, among others, and summiting with Steven Soderbergh and Ocean's Eleven, Twelve, and Thirteen.

Along the way, we'll watch as Jerry moves from the poker tables of Palm Springs, to the power rooms of Hollywood, to the halls of the White House, to Red Square in Moscow-all the while counseling potentates, poets, and kings, with clients and confidants like George Clooney, Bruce Willis, George H. W. Bush, Armand Hammer, Brad Pitt, Matt Damon, Bob Dylan, Led Zeppelin, John Denver, Bobby Fischer . . .well, the list goes on.

And of course, the story is not yet over . . . As Weintraub says, ""When I stop talking, you'll know I'm dead.""",Cinema & Broadcast (Books),Humour
Alex Rider 11: Never Say Die,Anthony Horowitz,"Paperback,– Jul 2018",4.5 out of 5 stars,17 customer reviews,"Alex Rider is back in this brand new, explosive mission in the number one bestselling series.
In this brand new, explosive adventure in the number one bestselling series, Alex Rider is trying to get his life back on track after
the traumatic events of his last mission. But even Alex can’t fight the past … especially when it holds a deadly secret.",Action & Adventure (Books),Action & Adventure
A Legacy of Spies,John le Carré,"Paperback,– 4 Oct 2017",4.1 out of 5 stars,29 customer reviews,"Peter Guillam, staunch colleague and disciple of George Smiley of the British Secret Service, otherwise known as the Circus, has retired to his family farmstead on the south coast of Brittany when a letter from his old Service summons him to London. The reason? His Cold War past has come back to claim him. Intelligence operations that were once the toast of secret London are to be scrutinised by a generation with no memory of the Cold War. Somebody must be made to pay for innocent blood once spilt in the name of the greater good.

Interweaving past with present so that each may tell its own story, John le Carré has given us a novel of superb and enduring quality.",Action & Adventure (Books),Politics
Dark Places,Gillian Flynn,"Paperback,– 10 Jun 2010",4.1 out of 5 stars,62 customer reviews,"Your brother murdered your family. Your evidence put him away . . . the gripping second novel from the author of GONE GIRL and SHARP OBJECTS
Libby Day was just seven years old when her older brother massacred her family while she hid in a cupboard. Her evidence helped put him away. Ever since then she has been drifting, surviving for over 20 years on the proceeds of the 'Libby Day fund'. But now the money is running out and Libby is desperate. When she is offered $500 to do a guest appearance, she feels she has to accept. But this is no ordinary gathering. The Kill Club is a group of true-crime obsessives who share information on notorious murders, and they think her brother Ben is innocent.
Ben was a social misfit, ground down by the small-town farming community in which he lived. But he did have a girlfriend - a brooding heavy metal fan called Diondra. Through her, Ben became involved with drugs and the dark arts. When the town suddenly turned against him, his thoughts turned black. But was he capable of murder? Libby must delve into her family's past to uncover the truth - no matter how painful...","Crime, Thriller & Mystery (Books)","Crime, Thriller & Mystery"
A Pelican Introduction: The Human Planet: How We Created the Anthropocene (Pelican Books),Simon Lewis,"Mass Market Paperback,– Import, 24 Jul 2018",3.0 out of 5 stars,1 customer review,"'Brilliantly written and genuinely one of the most important books I have ever read' - Ellie Mae O'Hagan A remarkable exploration of the science, history and politics of the Anthropocene, one of the most important scientific ideas of our time, from two world-renowned experts Meteorites, methane, mega-volcanoes and now human beings; the old forces of nature that transformed Earth many millions of years ago are joined by another: us. Our actions have driven Earth into a new geological epoch, the Anthropocene. For the first time in our home planet's 4.5-billion year history a single species is dictating Earth's future. To some the Anthropocene symbolises a future of superlative control of our environment. To others it is the height of hubris, the illusion of our mastery over nature. Whatever your view, just below the surface of this odd-sounding scientific word, the Anthropocene, is a heady mix of science, philosophy, religion and politics linked to our deepest fears and utopian visions. Tracing our environmental impact through time to reveal when humans began to dominate Earth, scientists Simon Lewis and Mark Maslin masterfully show what the new epoch means for all of us.",Earth Sciences Textbooks,"Crime, Thriller & Mystery"
Giant’s Bread,Agatha Christie,"Paperback,– 30 Oct 2017",3.5 out of 5 stars,4 customer reviews,"A spellbinding novel of romantic obsession.

Vernon Deyre is a sensitive and brilliant musician, even a genius. But there is a high price to be paid for his talent, especially by his family and the two women in his life. His sheltered childhood in the home he loves has not prepared Vernon for the harsh reality of his adult years, and in order to write the great masterpiece of his life, he has to make a crucial decision with no time left to count the cost…

Famous for her ingenious crime books and plays, Agatha Christie also wrote about crimes of the heart, six bittersweet and very personal novels, as compelling and memorable as the best of her work.",Contemporary Fiction (Books),"Crime, Thriller & Mystery"
Invisible,James Patterson,"Mass Market Paperback,– 24 Nov 2015",4.5 out of 5 stars,24 customer reviews,"Read the #1 New York Times bestselling thriller Invisible, then continue the series with Unsolved.

Everyone thinks Emmy Dockery is crazy. Obsessed with finding the link between hundreds of unsolved cases, Emmy has taken leave from her job as an FBI researcher. Now all she has are the newspaper clippings that wallpaper her bedroom, and her recurring nightmares of an all-consuming fire.

Not even Emmy's ex-boyfriend, field agent Harrison ""Books"" Bookman, will believe her that hundreds of kidnappings, rapes, and murders are all connected. That is, until Emmy finds a piece of evidence he can't afford to ignore. More murders are reported by the day--and they're all inexplicable. No motives, no murder weapons, no suspects. Could one person really be responsible for these unthinkable crimes?

INVISIBLE is James Patterson's scariest, most chilling thriller yet.",Action & Adventure (Books),Action & Adventure
Oxford Mini Thesaurus,Oxford Dictionaries,"Flexibound,– 23 May 2013",4.1 out of 5 stars,11 customer reviews,"This small thesaurus offers 120,000 synonyms and antonyms in a quick and easy-to-use thesaurus. Synonyms are arranged in order of their closeness in meaning to the entry word, with the closest one given first and printed in bold type to make it easier to find the sense you're looking for. Improve your vocabulary with our Word Links, a feature that provides extra vocabulary related to a selection of key entries.",Dictionaries,"Language, Linguistics & Writing"
Medieval India: From Sultanat to the Mughals-Delhi Sultanat (1206-1526) - 1,Satish Chandra,"Paperback,– 30 Jul 2007",3.8 out of 5 stars,42 customer reviews,"Medieval India: From Sultanat To The Mughals-Delhi Sultanat (1206-1526) - 1 explores the period from 1206 to 1526, in India and talks about the rulers of the time. It is a critique of the social, economic, and political condition of the people, from the medieval period of Indian history. Like all big things that come in small packages, this one has gems of important information adorned in simple English that is suitable for a wide audience.
The contents of the book describe the conditions in central and west Asia, and the Rajput Kingdom in the 10th century, and Delhi Sultanat. It also talks about topics like Internal Conflicts, Mongol Threats, Rebellions, the Bahamani Kingdom, advent of the Portuguese, Gujarat Malwa, and all the activity till 1526.
Medieval India: From Sultanat To The Mughals-Delhi Sultanat (1206-1526) - 1 is a compilation of detailed research, into the times before the Mughal rule in India. It chronicles the various aspects of the times, and aims to analyse it for a better understanding of the foundation of the Mughal rule and what actually led to it. The book, apart from helping a student grasp a general understanding of the times, is recommended for an individual pursuing graduate studies in history. It is also useful for an IAS aspirant. Published by Har Anand Publications in 2007, the book is available in paperback.",Asian History,Politics
Learning Web Design 4e,Jennifer N. Robbins,"Paperback,– 7 Sep 2012",4.0 out of 5 stars,17 customer reviews,"Do you want to build web pages, but have no previous experience? This friendly guide is the perfect place to start. You’ll begin at square one, learning how the Web and web pages work, and then steadily build from there. By the end of the book, you’ll have the skills to create a simple site with multi-column pages that adapt for mobile devices.
Learn how to use the latest techniques, best practices, and current web standards—including HTML5 and CSS3. Each chapter provides exercises to help you to learn various techniques, and short quizzes to make sure you understand key concepts.
This thoroughly revised edition is ideal for students and professionals of all backgrounds and skill levels, whether you’re a beginner or brushing up on existing skills.
Build HTML pages with text, links, images, tables, and forms
Use style sheets (CSS) for colors, backgrounds, formatting text, page layout, and even simple animation effects
Learn about the new HTML5 elements, APIs, and CSS3 properties that are changing what you can do with web pages
Make your pages display well on mobile devices by creating a responsive web design
Learn how JavaScript works—and why the language is so important in web design
Create and optimize web graphics so they’ll download as quickly as possible",XHTML Software Programming,"Computing, Internet & Digital Media"
Everything is Inside,Subodh Gupta,"Hardcover,– 9 Feb 2014",2.0 out of 5 stars,1 customer review,"This landmark monograph – designed and edited in close collaboration with the artist – brings together for the first time over 200 high-quality images of Gupta’s work, delves into his work process and explores the cultural, intellectual and biographical contexts of his work. With essays by Aveen Sen, Sunil Khilnani, Germano Celant and Raqs Media Collective, this is the most complete book on the artist to date.",Photography Textbooks,"Arts, Film & Photography"
Our Moon Has Blood Clots: A Memoir of a Lost Home in Kashmir,Rahul Pandita,"Paperback,– 30 Sep 2017",4.5 out of 5 stars,303 customer reviews,"Rahul Pandita was fourteen years old when he was forced to leave his home in Srinagar along with his family. They were Kashmiri Pandits- the Hindu minority within a Muslim-majority Kashmir that was by 1990 becoming increasingly agitated with the cries of ‘Azaadi’ from India.
Our Moon Has Blood Clots is the story of Kashmir, in which hundreds of thousands of Kashmiri Pandits were tortured, killed and forced to leave their homes by Islamist militants and to spend the rest of their lives in exile in their own country. Rahul Pandita has written a deeply personal, powerful and unforgettable story of history, home and loss.",Government (Books),"Biographies, Diaries & True Accounts"
Desirable Daughters,Bharati Mukherjee,"Paperback,– 1 Jan 2003",4.1 out of 5 stars,4 customer reviews,"Desirable Daughters is set in America and India equally. It is both the portrait of a traditional Brahmin Indian family and a contemporary story of an American woman who has in many ways broken with the tradition but still remains tied to her native country. An intricate mystery that unfolds throughout this compelling novel, it creates both intrigue and suspense but also initiates a quest for identity.",Indian Writing (Books),"Crime, Thriller & Mystery"
Tinkle Double Digest No. 31,Anant Pai,"Paperback,– 2005",4.3 out of 5 stars,3 customer reviews,A Tinkle Double Digest is two Tinkle Digests in one volume. These include the best stories of Tinkle over the years.,Comics & Graphic Novels (Books),Comics & Mangas
Arise Arjuna: Hinduism Resurgent in a New Century,David Frawley,"Paperback,– 18 Nov 2018",5.0 out of 5 stars,11 customer reviews,"India faces a modern Kurukshetra as the forces of dharma and adharma clash again in a conflict that will determine the future of the nation. On one side are the forces of economic growth, cultural revival and a renewed vision of the country in harmony with its yogic values. On the other side are forces of religious prejudices, baseless propaganda, social division and materialistic political ideologies.
Mere retreat, passivity or compromise cannot overcome past adversaries or the new dangers that are lurking in our conflicted media age, its invasive technology and the disruptive clash of cultures. India needs to benefit from the opportunities of the dawning knowledge era where its dharmic traditions can prosper once again. A new spiritual warrior, equipped with yogic power and Vedantic insights, is necessary like Arjuna was under the guidance of Sri Krishna.
This book is a call for new Arjunas to emerge among us, learn the skills of the information age and uphold the cause of dharma with discernment and dedication on both intellectual and spiritual levels.Only through this can we awaken our spirit to uplift our world at this critical juncture of human history when the very foundations of life are threatened.","Arts History, Theory & Criticism (Books)",Action & Adventure
50 Inspirational Speeches,Various,"Paperback,– Jun 2018",5.0 out of 5 stars,1 customer review,"The pivotal moments of history are filled with the words of many renowned orators. And their power-packed words impacted some of the major happenings in the world wars, political upheavals, peace negotiations, amendments to the Constitution and even freedom to countries. Such orators have inspired and continue to inspire people all across the world.
In 50 Inspirational Speeches, each speech is accompanied by a short introduction that gives an overview of the events that occurred around the speech, the people it was addressed to and the effects that the speech brought about. From Queen Elizabeth I’s speech to rouse her troops as they were about to face the Spanish Armada, to Barack Obama’s emotional farewell address, the speeches you are about to read are as enlightening and insightful as they are inspiring.

“Government of the people, by the people, for the people, shall not perish from the earth.”
- Abraham Lincoln<
“I know not what course others may take, but as for me, give me liberty or give me death!”
- Patrick Henry
“In the end, when you're making those impossible choices, it all boils down to who you are and
what you stand for.”
- Michelle Obama
“We shall defend our island, whatever the cost may be, we shall fight on the beaches, we shall fight on the landing grounds, we shall fight in the fields and in the streets, we shall fight in the hills,
we shall never surrender .”
- Winston Churchill.",Political Ideologies (Books),Politics
